work_location,dedication,contract_type,last_monthly_salary_or_net,job_type,experience_years,people_under_charge,used_platforms,used_technologies,used_frameworks,databases,qa_testing,max_studies_level,state,edu_institution,age,gender,salary_dollarized,seniority,salary
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),824715.0,Manager / Director,30,50,"Amazon Web Services, Azure, Serverless, Windows Server","Javascript, Powershell",Node.js,"Amazon DynamoDB, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Postman,Universitario,Incompleto,UAI - Universidad Abierta Interamericana,47,Hombre Cis,True,Senior,846042.0
Buenos Aires,Full-Time,Staff (planta permanente),113095.0,Developer,6,0,"Amazon Web Services, Docker",TypeScript,"Next.js, Node.js, NestJS",PostgreSQL,Jest,Universitario,Completo,UNLP - Universidad Nacional de La Plata,28,Mujer Cis,True,Senior,908175.0
Buenos Aires,Full-Time,Freelance,950000.0,Technical Leader,6,3,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux","Javascript, Rust, Solidity","React.js, actix-web","Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, Redis","Jest, Mocha, Postman, Selenium",Universitario,Incompleto,UNLP - Universidad Nacional de La Plata,28,Hombre Cis,True,Senior,1500000.0
Córdoba,Full-Time,Freelance,600000.0,Manager / Director,10,2,"Amazon Web Services, Google Cloud Platform","CSS, HTML, Java, Javascript, PHP, SQL","Angular, Bootstrap, jQuery, Next.js, Node.js, React.js, WordPress","Google Cloud Storage, MariaDB, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,Universitario,Completo,UNRC - Universidad Nacional de Río Cuarto,38,Hombre Cis,True,Senior,750000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000.0,Infosec,4,0,"Amazon Web Services, Azure, IBM Cloud / Watson, Serverless","Assembler, Bash/Shell, C, C#, CSS, HTML, Javascript, Python, Ruby, SQL",".NET Core, Angular, WordPress","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL","Postman, Selenium",Maestría,En curso,UTN - Universidad Tecnológica Nacional,34,Agénero,True,Semi-Senior,450000.0
Buenos Aires,Full-Time,Freelance,2000000.0,Developer,17,0,Amazon Web Services,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js",MongoDB,Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,44,Mujer Cis,True,Senior,2000000.0
Santa Fe,Full-Time,Staff (planta permanente),225000.0,Developer,3,0,"Docker, Linux","CSS, HTML, Javascript, PHP, SQL","Bootstrap, Drupal, jQuery, TensorFlow, Vue.js","ElasticSearch, MariaDB, Microsoft SQL Server, MySQL, Redis",PHPUnit,Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,25,Hombre Cis,True,Semi-Senior,288000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),282000.0,SysAdmin / DevOps / SRE,17,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, SAP, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Posgrado/Especialización,Completo,UCA - Universidad Católica Argentina,43,Hombre Cis,True,Senior,340000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),313000.0,Designer,7,0,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UP - Universidad de Palermo,33,Mujer Cis,True,Senior,377000.0
Buenos Aires,Full-Time,Staff (planta permanente),284210.0,SysAdmin / DevOps / SRE,1,2,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, OpenShift, VMWare",".NET, Bash/Shell, C, CSS, Go, HTML, Java, Javascript, PHP, Python, Ruby, SQL","Rails, WordPress","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, ProxySQL, Redis, Sybase",Postman,Universitario,Completo,UNLP - Universidad Nacional de La Plata,41,Fluido,True,Junior,257912.0
Santa Fe,Full-Time,Staff (planta permanente),463680.0,Developer,2,0,Ninguna de las anteriores,"CSS, HTML, Javascript","Bootstrap, Django, jQuery, Node.js, Vue.js",Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UNL - Universidad Nacional del Litoral,35,Mujer Cis,True,Junior,579600.0
Mendoza,Full-Time,Staff (planta permanente),1400000.0,SysAdmin / DevOps / SRE,5,0,"Azure, Docker, Kubernetes, Linux","Bash/Shell, Javascript, TypeScript",Node.js,"MongoDB, PostgreSQL, Redis",Mocha,Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,34,Hombre Cis,True,Semi-Senior,2100000.0
Buenos Aires,Full-Time,Staff (planta permanente),700000.0,Data Scientist,10,0,"Amazon Web Services, Docker, Kubernetes, Linux",Python,"Spark, Spring, TensorFlow, Torch","Amazon DynamoDB, Amazon RDS/Aurora, MySQL","JUnit, Postman",Universitario,Completo,UTN - Universidad Tecnológica Nacional,36,Hombre Cis,True,Senior,1097000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),520000.0,Technical Leader,9,2,"Azure, Docker, Google Cloud Platform, Linux","Java, Javascript, Python","Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB",Ninguna de las anteriores,Universitario,En curso,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,30,Hombre Cis,True,Senior,650000.0
Río Negro,Full-Time,Contractor,1800000.0,Developer,5,0,"Amazon Web Services, Docker, Kubernetes, Serverless","CSS, HTML, Javascript, SQL, TypeScript","Next.js, Node.js, React.js","MySQL, PostgreSQL","Jest, Postman",Universitario,Completo,UNLaM - Universidad Nacional de La Matanza,28,Hombre Cis,True,Semi-Senior,1800000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),931152.2623244459,Developer,4,0,"Amazon Web Services, Docker, Kubernetes, Linux","C#, Elixir, Erlang, Rust",Phoenix,"PostgreSQL, Redis",Xunit,Universitario,En curso,UBA - Universidad de Buenos Aires,28,Hombre Cis,True,Semi-Senior,1100000.0
Córdoba,Full-Time,Contractor,350000.0,Developer,2,0,"Amazon Web Services, Firebase, Linux","Java, Javascript, SQL, TypeScript","Node.js, Nest.js, Spring Boot",Amazon RDS/Aurora,Ninguna de las anteriores,Posgrado/Especialización,Incompleto,UTN - Universidad Tecnológica Nacional,30,Hombre Cis,True,Junior,400000.0
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),460000.0,Developer,2,0,Ninguna de las anteriores,"CSS, Javascript, TypeScript, ","Bootstrap, Next.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,25,Mujer Cis,True,Junior,515000.0
Mendoza,Full-Time,Contractor,1150000.0,Developer,6,2,"Docker, Google Cloud Platform, Linux","Java, Javascript",Spring,MongoDB,"JUnit, Postman",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,32,Hombre Cis,True,Senior,1300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),287000.0,Technical Leader,4,1,"Docker, Linux","HTML, Javascript, TypeScript","Angular, Next.js, Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,22,Hombre Cis,True,Semi-Senior,340000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),35000.0,Developer,2,0,Linux,"Bash/Shell, SQL",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,29,Hombre Cis,True,Junior,422000.0
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),518400.0,Data Scientist,1,0,"Docker, Linux","Bash/Shell, Python, SQL",Ninguno de los anteriores,"Google Cloud Storage, PostgreSQL",Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,23,Hombre Cis,True,Junior,538000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),798571.0,Technical Leader,10,4,"Amazon Web Services, Docker, Kubernetes, Linux","Go, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,Universitario,En curso,UTN - Universidad Tecnológica Nacional,29,Hombre Cis,True,Senior,1123918.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,850000.0,Developer,3,3,"Amazon Web Services, Kubernetes, Linux, Microcontroladores, Serverless","CSS, Go, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Next.js, Node.js, React.js, Vue.js, WordPress","Amazon DynamoDB, MongoDB, MySQL, Redis","Cypress, Jest, Postman",Universitario,En curso,UBA - Universidad de Buenos Aires,27,Hombre Cis,True,Semi-Senior,850000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),560408.0,Machine Learning Engineer,5,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless, IOT","Go, Python, R, Scala, SQL","Flask, Hadoop, Spark, TensorFlow, Torch","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Apache Hive, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL, Neo4j, PostgreSQL, Teradata","Postman, PyTest, unittest",Posgrado/Especialización,Completo,USAL - Universidad del Salvador,40,Hombre Cis,True,Semi-Senior,829600.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),800000.0,Recruiter / HR,4,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Posgrado/Especialización,Completo,UCES - Universidad de Ciencias Empresariales y Sociales,42,Mujer Cis,True,Semi-Senior,1200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),492000.0,UX,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UNQ - Universidad Nacional de Quilmes,29,Mujer Cis,True,Senior,440000.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),627000.0,Developer,16,0,"Docker, Linux","Go, TypeScript",React.js,"Cassandra, Redis",Ninguna de las anteriores,Terciario,Completo,Escuela Da Vinci,36,Hombre Cis,True,Senior,1040000.0
Buenos Aires,Full-Time,Staff (planta permanente),500000.0,BI Analyst / Data Analyst,3,1,"Azure, SAP","Matlab, Python, SQL, VBA",Ninguno de los anteriores,"MySQL, PostgreSQL",Ninguna de las anteriores,Universitario,Completo,ITBA Instituto Tecnológico de Buenos Aires,29,Hombre Cis,True,Semi-Senior,700000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),197500.0,UX,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,24,Hombre Cis,True,Junior,232000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),64000.0,Developer,0,0,.net,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap","MariaDB, Microsoft SQL Server, MySQL",Mocha,Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,22,Hombre Cis,True,Junior,84000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1435158.6315642325,Developer,2,3,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless","SQL, TypeScript","Next.js, Node.js, React.js","Amazon DynamoDB, PostgreSQL","Jest, Vitest",Universitario,Incompleto,UBA - Universidad de Buenos Aires,22,Hombre Cis,True,Junior,1676500.0
Santa Fe,Full-Time,Staff (planta permanente),577000.0,Technical Leader,5,2,"Docker, Linux","CSS, HTML, Javascript, TypeScript",React.js,"PostgreSQL, Redis",Jest,Universitario,Completo,UTN - Universidad Tecnológica Nacional,27,Hombre Cis,True,Semi-Senior,873000.0
Buenos Aires,Full-Time,Contractor,1135323.0,Developer,10,0,Ninguna de las anteriores,"Javascript, TypeScript","Angular, Node.js","MongoDB, PostgreSQL",Ninguna de las anteriores,Posdoctorado,Completo,UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,31,Hombre Cis,True,Senior,1303500.0
Tucumán,Full-Time,Staff (planta permanente),593000.0,Data Scientist,2,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, C, HTML, Python, R, Scala, SQL","Hadoop, Spark, TensorFlow, Torch","Apache Hive, Google Cloud Storage, Teradata",Ninguna de las anteriores,Maestría,Completo,UNCUYO - Universidad Nacional de Cuyo,26,Hombre Cis,True,Junior,702000.0
Entre Ríos,Full-Time,Contractor,480000.0,Developer,2,0,"Amazon Web Services, Docker, Firebase, Linux, Serverless",Javascript,"Next.js, Node.js, React.js",MongoDB,Postman,Universitario,Incompleto,UADER - Universidad Autónoma de Entre Ríos,36,Hombre Cis,True,Junior,500000.0
Córdoba,Full-Time,Staff (planta permanente),590000.0,Architect,15,20,"Azure, Docker, Kubernetes, Linux",".NET, C#, TypeScript",".NET Core, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc)","Cucumber, Jest, NUnit, Postman",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,43,Hombre Cis,True,Senior,850000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),642649.0500969876,Manager / Director,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Terciario,Completo,ESBA - Escuela Superior Buenos Aires,42,Hombre Cis,True,Senior,770000.0
Santa Fe,Full-Time,Staff (planta permanente),150000.0,Developer,7,0,"Docker, Kubernetes",".NET, C#, HTML, Javascript, TypeScript",".NET Core, Angular","Microsoft SQL Server, MongoDB",Xunit,Terciario,Completo,UNR - Universidad Nacional de Rosario,29,Hombre Cis,True,Senior,200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),359307.0,Business Analyst,2,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,Universitario,En curso,UADE - Universidad Argentina De la Empresa,26,Hombre Cis,True,Junior,432900.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),540000.0,Developer,4,0,"Amazon Web Services, Docker, Linux, Serverless","Javascript, PHP, Python, SQL","Django, React.js, Symfony, Serverless","Amazon DynamoDB, MongoDB, MySQL",Postman,Universitario,En curso,UNLP - Universidad Nacional de La Plata,26,Hombre Cis,True,Semi-Senior,600000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),450000.0,HelpDesk,2,0,"Amazon Web Services, Salesforce","Go, Python, SQL, TypeScript",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Terciario,En curso,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,28,Mujer Cis,True,Junior,450000.0
Córdoba,Full-Time,Staff (planta permanente),313000.0,Architect,0,0,Linux,"Bash/Shell, C, C++, Matlab, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UTN - Universidad Tecnológica Nacional,25,Hombre Cis,True,Junior,350000.0
Buenos Aires,Full-Time,Staff (planta permanente),975000.0,Developer,19,0,"Docker, Kubernetes, Linux","Bash/Shell, Groovy, Java, SQL",Ninguno de los anteriores,PostgreSQL,"JUnit, Postman, Visual Studio Coded UI",Universitario,Completo,UTN - Universidad Tecnológica Nacional,40,Hombre Cis,True,Senior,1500000.0
Buenos Aires,Full-Time,Staff (planta permanente),503879.0,Developer,3,0,"Amazon Web Services, Docker, Kubernetes, Linux, SAP","Bash/Shell, HTML, Python","FastAPI, GraphQL",PostgreSQL,Ninguna de las anteriores,Universitario,Incompleto,UBA - Universidad de Buenos Aires,38,Hombre Cis,True,Semi-Senior,750253.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),255073.0,Developer,1,0,"Amazon Web Services, OpenShift",".NET, C#, HTML, Javascript, SQL, TypeScript",".NET Core, Angular",Microsoft SQL Server,"Postman, TFS, Xunit",Universitario,Incompleto,UBA - Universidad de Buenos Aires,30,Hombre Cis,True,Junior,284806.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400457.0,Developer,12,0,"Docker, Kubernetes","HTML, Java, Javascript, SQL","React.js, Spring","Microsoft Azure (Tables, CosmosDB, SQL, etc)","Jest, JUnit, Postman, Selenium",Universitario,En curso,UNLaM - Universidad Nacional de La Matanza,32,Hombre Cis,True,Senior,454000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,500000.0,Developer,3,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes","Go, Elixir, Ruby",Rails,CouchDB,RSpec,Universitario,En curso,UTN - Universidad Tecnológica Nacional,25,Hombre Cis,True,Semi-Senior,1940000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),378750.0,Business Analyst,2,0,"Amazon Web Services, Firebase","Python, SQL",Ninguno de los anteriores,"Amazon RDS/Aurora, PostgreSQL",Ninguna de las anteriores,Universitario,En curso,ITBA Instituto Tecnológico de Buenos Aires,25,Hombre Cis,True,Junior,421000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),405000.0,VP / C-Level,25,25,"Amazon Web Services, Docker, Serverless",Javascript,Node.js,"Amazon DynamoDB, PostgreSQL","Cucumber, Mocha",Universitario,Completo,UNLaM - Universidad Nacional de La Matanza,45,Hombre Cis,True,Senior,450000.0
Buenos Aires,Full-Time,Staff (planta permanente),340000.0,Developer,18,0,"Azure, Windows Server",".NET, C#, Xaml",.NET Core,"Informix, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Redis, SQLite",Ninguna de las anteriores,Universitario,Completo,UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,45,Hombre Cis,True,Senior,215000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000.0,Release Coordinator,5,0,"Amazon Web Services, Azure, Kubernetes, Linux","Bash/Shell, Python, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Universitario,En curso,UP - Universidad de Palermo,31,Hombre Cis,True,Semi-Senior,1000000.0
Córdoba,Full-Time,Staff (planta permanente),873000.0,Lead Data Science,6,8,"Amazon Web Services, Docker","Bash/Shell, Python, SQL",Spark,"Google Cloud Storage, Oracle, Snowflake",Ninguna de las anteriores,Posgrado/Especialización,Completo,ORT,31,Mujer Cis,True,Senior,1300000.0
Buenos Aires,Full-Time,Staff (planta permanente),440920.0,Developer,5,0,"Amazon Web Services, Docker",".NET, C#, HTML, SQL",.NET Core,"Microsoft SQL Server, MongoDB, MySQL, Redis","Postman, Xunit",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,32,Hombre Cis,True,Semi-Senior,519884.0
Buenos Aires,Full-Time,Contractor,420000.0,BI Analyst / Data Analyst,9,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Completo,UCES - Universidad de Ciencias Empresariales y Sociales,31,Mujer Cis,True,Senior,470000.0
Córdoba,Part-Time,Contractor,1400000.0,Manager / Director,8,5,"Amazon Web Services, Arduino o similar, Docker, Serverless","Arduino, C++, Javascript",Ninguno de los anteriores,"Amazon DynamoDB, Influxdb",Ninguna de las anteriores,Maestría,Incompleto,UNC - Universidad Nacional de Córdoba,31,Hombre Cis,True,Senior,1400000.0
Buenos Aires,Full-Time,Contractor,1500000.0,Developer,4,3,Azure,"Go, SQL",Ninguno de los anteriores,PostgreSQL,"Postman, Custom Unit and Regression Testing",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,38,Hombre Cis,True,Semi-Senior,1500000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2209000.0,Developer,27,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Java, Rust, Scala","Akka, Zio, Cats, Http4s","Cassandra, ElasticSearch, MariaDB, MongoDB, Redis, Scylladb",JUnit,Universitario,Completo,UTN - Universidad Tecnológica Nacional,42,Prefiero no decir,True,Senior,1600000.0
Buenos Aires,Full-Time,Contractor,1461000.0,Designer,5,0,Ninguna de las anteriores,"Ninguno de los anteriores, ",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Posgrado/Especialización,Completo,UNR - Universidad Nacional de Rosario,32,Mujer Cis,True,Semi-Senior,1461000.0
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),320000.0,BI Analyst / Data Analyst,1,2,"Docker, Google Cloud Platform, Linux","Python, SQL",Ninguno de los anteriores,"MariaDB, MongoDB, MySQL",Ninguna de las anteriores,Universitario,En curso,UBA - Universidad de Buenos Aires,24,Hombre Cis,True,Junior,470000.0
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),413255.27,Developer,10,0,Linux,"Java, Javascript, SQL, TypeScript","Angular, Node.js, React.js, Spring","ElasticSearch, MongoDB, MySQL",JUnit,Universitario,En curso,UBA - Universidad de Buenos Aires,28,Hombre Cis,True,Senior,522492.96
Buenos Aires,Full-Time,Contractor,505626.0,Developer,0,0,"Amazon Web Services, Serverless","HTML, Javascript, CSS","Angular, React.js, WordPress",Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UM - Universidad de Morón,22,Hombre Cis,True,Junior,537900.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),591417.0,Developer,5,0,"Amazon Web Services, Docker, Google Cloud Platform","Go, HTML, Kotlin",Spring,Ninguna de las anteriores,JUnit,Universitario,Incompleto,UBA - Universidad de Buenos Aires,27,Hombre Cis,True,Semi-Senior,886508.0
Córdoba,Full-Time,Contractor,2700000.0,SysAdmin / DevOps / SRE,6,0,"Amazon Web Services, Docker, Kubernetes, Linux","Go, Javascript, SQL, TypeScript","Next.js, Node.js, React.js","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Microsoft SQL Server, MongoDB, Redis","Jest, Mocha, Puppeteer",Universitario,Incompleto,UNC - Universidad Nacional de Córdoba,31,Hombre Cis,True,Senior,2744000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),596396.0,Manager / Director,7,3,"Docker, Kubernetes, Linux","Bash/Shell, Javascript, Python, R, SQL","Flask, React.js","ElasticSearch, MariaDB",Ninguna de las anteriores,Universitario,Completo,UBA - Universidad de Buenos Aires,31,Hombre Cis,True,Senior,1218907.0
Buenos Aires,Full-Time,Staff (planta permanente),815000.0,SysAdmin / DevOps / SRE,4,0,"Amazon Web Services, Azure, Docker, Kubernetes",".NET, Bash/Shell, Go, Groovy",.NET Core,Amazon DynamoDB,Ninguna de las anteriores,Universitario,Completo,UNS - Universidad Nacional del Sur,25,Hombre Cis,True,Semi-Senior,1283500.0
Santa Fe,Full-Time,Staff (planta permanente),771000.0,Developer,13,0,"Amazon Web Services, Docker, Google Cloud Platform, Serverless","Java, Kotlin","Hibernate, Spring","Amazon DynamoDB, Amazon RDS/Aurora, Apache Hive, Cassandra, ElasticSearch, Google Cloud Storage, MySQL, Redis, Teradata","JUnit, Postman",Universitario,Incompleto,UTN - Universidad Tecnológica Nacional,39,Hombre Cis,True,Senior,1226000.0
Córdoba,Full-Time,Staff (planta permanente),600000.0,BI Analyst / Data Analyst,3,0,"Amazon Web Services, Docker",Python,Flask,Google Cloud Storage,Postman,Universitario,Incompleto,IUA - Instituto Universitario Aeronáutico,33,Hombre Cis,True,Semi-Senior,686000.0
Buenos Aires,Full-Time,Staff (planta permanente),305.755,Data Engineer,2,0,"Amazon Web Services, Azure, Google Cloud Platform, VMWare","Python, SQL",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,En curso,UP - Universidad de Palermo,25,Mujer Cis,True,Junior,339471.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),470000.0,Developer,3,0,"Amazon Web Services, Google Cloud Platform","Go, Java",Spring,"Amazon DynamoDB, ElasticSearch, MySQL, Redis, SQLite","Jest, JUnit",Universitario,En curso,UBA - Universidad de Buenos Aires,29,Hombre Cis,True,Semi-Senior,740000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),560000.0,Developer,6,2,Docker,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery","Microsoft SQL Server, Oracle",Postman,Universitario,Incompleto,UAI - Universidad Abierta Interamericana,30,Hombre Cis,True,Senior,837000.0
Santa Fe,Full-Time,Contractor,1920000.0,Developer,7,0,Google Cloud Platform,"Javascript, Python",Vue.js,"ElasticSearch, Google Cloud Storage","Mocha, Puppeteer, Selenium",Universitario,En curso,UTN - Universidad Tecnológica Nacional,27,Hombre Cis,True,Senior,2400000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000.0,SysAdmin / DevOps / SRE,8,0,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack",Bash/Shell,Ninguno de los anteriores,"ElasticSearch, MySQL",Ninguna de las anteriores,Universitario,Incompleto,UBA - Universidad de Buenos Aires,32,Hombre Cis,True,Senior,1335000.0
Buenos Aires,Full-Time,Staff (planta permanente),543000.0,Manager / Director,6,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UCES - Universidad de Ciencias Empresariales y Sociales,36,Mujer Cis,True,Senior,804700.0
Córdoba,Full-Time,Staff (planta permanente),1280000.0,SysAdmin / DevOps / SRE,17,0,"Docker, Kubernetes, Linux, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, PostgreSQL",Ninguna de las anteriores,Universitario,Completo,IUA - Instituto Universitario Aeronáutico,41,Hombre Cis,True,Senior,1920000.0
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),230000.0,Developer,2,0,Ninguna de las anteriores,Java,Spring,Microsoft SQL Server,JUnit,Universitario,Completo,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,27,Hombre Cis,True,Junior,300000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600354.0,Developer,5,0,"Amazon Web Services, Docker, Kubernetes, Serverless","Javascript, TypeScript",Node.js,"PostgreSQL, Redis",Jest,Universitario,En curso,UNQ - Universidad Nacional de Quilmes,31,Hombre Cis,True,Semi-Senior,846600.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),838476.0,Architect,18,0,"Amazon Web Services, Docker, Google Cloud Platform, Linux",TypeScript,"Node.js, React.js, Remix",Amazon DynamoDB,Jest,Universitario,Completo,UTN - Universidad Tecnológica Nacional,41,Hombre Cis,True,Senior,1064619.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),686361.6580102389,SysAdmin / DevOps / SRE,26,0,"Amazon Web Services, Docker, Kubernetes, Linux, OpenStack","Bash/Shell, Python, Ruby",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Universitario,Incompleto,UNLP - Universidad Nacional de La Plata,46,Hombre Cis,True,Senior,820000.0
